model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Qwen2.5-Plus,Alibaba,Large,American Beauty,1999,American Beauty (1999),A,-0.006,-0.047530588894279524,108,164
Qwen2.5-Plus,Alibaba,Large,Jurassic Park,1993,Jurassic Park (1993),A,-0.0066,-0.05228087678243939,109,164
Qwen2.5-Plus,Alibaba,Large,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.0112,-0.08869975059166502,110,149
Qwen2.5-Plus,Alibaba,Large,Oppenheimer,2023,Oppenheimer (2023),C,-0.0119,-0.09424175312785153,111,148
Qwen2.5-Plus,Alibaba,Large,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.0132,-0.1045340435521979,112,139
Qwen2.5-Plus,Alibaba,Large,Incredibles 2,2018,Incredibles 2 (2018),C,-0.0138,-0.10928433144035776,113,159
Qwen2.5-Plus,Alibaba,Large,The Green Ray,1986,The Green Ray (1986),B,-0.0139,-0.11007604608838441,114,145
Qwen2.5-Plus,Alibaba,Large,Terra em Transe,1967,Terra em Transe (1967),B,-0.014,-0.11086776073641105,115,150
Qwen2.5-Plus,Alibaba,Large,A Clockwork Orange,1971,A Clockwork Orange (1971),B,-0.0161,-0.1274937683449706,116,150
Qwen2.5-Plus,Alibaba,Large,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.0192,-0.15203692243379655,117,143
Qwen2.5-Plus,Alibaba,Large,Star Trek,2009,Star Trek (2009),C,-0.0196,-0.15520378102590315,118,145
Qwen2.5-Plus,Alibaba,Large,Speed,1994,Speed (1994),C,-0.0246,-0.19478951342723536,119,137
Qwen2.5-Plus,Alibaba,Large,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.0274,-0.2169575235719814,120,134
Qwen2.5-Plus,Alibaba,Large,If….,1968,If…. (1968),B,-0.0276,-0.21854095286803468,121,151
Qwen2.5-Plus,Alibaba,Large,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.0302,-0.23912553371672746,122,145
Qwen2.5-Plus,Alibaba,Large,The Revenant,2015,The Revenant (2015),C,-0.034,-0.2692106903417399,123,143
Qwen2.5-Plus,Alibaba,Large,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.04,-0.31671356922333854,124,126
Qwen2.5-Plus,Alibaba,Large,The Gold Rush,1925,The Gold Rush (1925),B,-0.043,-0.34046500866413787,125,161
Qwen2.5-Plus,Alibaba,Large,The Social Network,2010,The Social Network (2010),A,-0.0432,-0.3420484379601912,126,149
Qwen2.5-Plus,Alibaba,Large,Top Gun,1986,Top Gun (1986),C,-0.0437,-0.3460070112003244,127,135
Qwen2.5-Plus,Alibaba,Large,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.0466,-0.3689667359930971,128,162
Qwen2.5-Plus,Alibaba,Large,La Région centrale,1971,La Région centrale (1971),B,-0.0565,-0.44734648614773487,129,141
Qwen2.5-Plus,Alibaba,Large,The Mummy,1999,The Mummy (1999),C,-0.0647,-0.5122670872859196,130,148
Qwen2.5-Plus,Alibaba,Large,Europa '51,1952,Europa '51 (1952),B,-0.0683,-0.5407688146148789,131,173
Qwen2.5-Plus,Alibaba,Large,The Croods,2013,The Croods (2013),C,-0.0693,-0.5486859610951453,132,152
Qwen2.5-Plus,Alibaba,Large,Joker,2019,Joker (2019),C,-0.0714,-0.5653119687037049,133,156
Qwen2.5-Plus,Alibaba,Large,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.0721,-0.5708539712398913,134,144
Qwen2.5-Plus,Alibaba,Large,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,-0.0734,-0.5811462616642378,135,165
Qwen2.5-Plus,Alibaba,Large,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.0742,-0.5874799788484509,136,148
Qwen2.5-Plus,Alibaba,Large,Zama,2017,Zama (2017),B,-0.0766,-0.6064811304010903,137,149
Qwen2.5-Plus,Alibaba,Large,The Exorcist,1973,The Exorcist (1973),A,-0.081,-0.6413165749142627,138,174
Qwen2.5-Plus,Alibaba,Large,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.0848,-0.6714017315392752,139,171
Qwen2.5-Plus,Alibaba,Large,National Treasure,2004,National Treasure (2004),C,-0.0868,-0.687236024499808,140,162
Qwen2.5-Plus,Alibaba,Large,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.0882,-0.6983200295721811,141,162
Qwen2.5-Plus,Alibaba,Large,Inglourious Basterds,2009,Inglourious Basterds (2009),A,-0.0887,-0.7022786028123142,142,169
Qwen2.5-Plus,Alibaba,Large,The Thin Red Line,1998,The Thin Red Line (1998),B,-0.0985,-0.7798666383189254,143,172
Qwen2.5-Plus,Alibaba,Large,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.0999,-0.7909506433912985,144,162
Qwen2.5-Plus,Alibaba,Large,Tarzan,1999,Tarzan (1999),C,-0.1009,-0.7988677898715649,145,170
Qwen2.5-Plus,Alibaba,Large,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.1074,-0.8503292419932967,146,163
Qwen2.5-Plus,Alibaba,Large,Sing,2016,Sing (2016),C,-0.111,-0.8788309693222559,147,162
Qwen2.5-Plus,Alibaba,Large,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.111,-0.8788309693222559,148,161
Qwen2.5-Plus,Alibaba,Large,Death in Venice,1971,Death in Venice (1971),B,-0.1121,-0.8875398304505491,149,173
Qwen2.5-Plus,Alibaba,Large,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.1126,-0.8914984036906823,150,174
Qwen2.5-Plus,Alibaba,Large,The Wind,1928,The Wind (1928),B,-0.12,-0.9500852876446539,151,177
Qwen2.5-Plus,Alibaba,Large,The Crowd,1928,The Crowd (1928),B,-0.1218,-0.9643361513091335,152,175
Qwen2.5-Plus,Alibaba,Large,Limite,1931,Limite (1931),B,-0.1224,-0.9690864391972933,153,171
Qwen2.5-Plus,Alibaba,Large,Bambi,1942,Bambi (1942),A,-0.123,-0.9738367270854532,154,167
Qwen2.5-Plus,Alibaba,Large,The Bodyguard,1992,The Bodyguard (1992),C,-0.1275,-1.0094638862466523,155,169
Qwen2.5-Plus,Alibaba,Large,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.1292,-1.0229230352631054,156,167
Qwen2.5-Plus,Alibaba,Large,Twister,1996,Twister (1996),C,-0.1296,-1.0260898938552117,157,179
Qwen2.5-Plus,Alibaba,Large,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.1299,-1.0284650377992917,158,165
Qwen2.5-Plus,Alibaba,Large,Stromboli,1950,Stromboli (1950),B,-0.1365,-1.0807182045690502,159,159
Qwen2.5-Plus,Alibaba,Large,Independence Day,1996,Independence Day (1996),C,-0.1399,-1.1076365026019561,160,166
Qwen2.5-Plus,Alibaba,Large,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.1437,-1.1377216592269686,161,168
Qwen2.5-Plus,Alibaba,Large,Underground,1995,Underground (1995),B,-0.1449,-1.1472222350032883,162,214
Qwen2.5-Plus,Alibaba,Large,JFK,1991,JFK (1991),A,-0.1451,-1.1488056642993416,163,175
Qwen2.5-Plus,Alibaba,Large,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.146,-1.1559310961315814,164,152
Qwen2.5-Plus,Alibaba,Large,The Grinch,2018,The Grinch (2018),C,-0.1461,-1.1567228107796081,165,164
Qwen2.5-Plus,Alibaba,Large,Uncharted,2022,Uncharted (2022),C,-0.147,-1.1638482426118477,166,144
Qwen2.5-Plus,Alibaba,Large,Superman Returns,2006,Superman Returns (2006),C,-0.1472,-1.1654316719079012,167,161
Qwen2.5-Plus,Alibaba,Large,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.1478,-1.170181959796061,168,156
Qwen2.5-Plus,Alibaba,Large,The Golden Compass,2007,The Golden Compass (2007),C,-0.1481,-1.172557103740141,169,151
Qwen2.5-Plus,Alibaba,Large,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1483,-1.1741405330361943,170,163
Qwen2.5-Plus,Alibaba,Large,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1483,-1.1741405330361943,171,173
Qwen2.5-Plus,Alibaba,Large,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1485,-1.1757239623322475,172,156
Qwen2.5-Plus,Alibaba,Large,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.1486,-1.1765156769802743,173,153
Qwen2.5-Plus,Alibaba,Large,Full River Red,2023,Full River Red (2023),C,-0.1486,-1.1765156769802743,174,169
Qwen2.5-Plus,Alibaba,Large,Intolerance,1916,Intolerance (1916),B,-0.1488,-1.1780991062763273,175,163
Qwen2.5-Plus,Alibaba,Large,Out 1,1971,Out 1 (1971),B,-0.1489,-1.178890820924354,176,181
Qwen2.5-Plus,Alibaba,Large,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.1489,-1.178890820924354,177,150
Qwen2.5-Plus,Alibaba,Large,Titanic,1997,Titanic (1997),A,-0.149,-1.1796825355723808,178,171
Qwen2.5-Plus,Alibaba,Large,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.1496,-1.1844328234605408,179,174
Qwen2.5-Plus,Alibaba,Large,The Wolverine,2013,The Wolverine (2013),C,-0.1498,-1.1860162527565938,180,157
Qwen2.5-Plus,Alibaba,Large,Armageddon,1998,Armageddon (1998),C,-0.1499,-1.1868079674046206,181,151
Qwen2.5-Plus,Alibaba,Large,Avatar,2009,Avatar (2009),A,-0.1508,-1.1939333992368604,182,172
Qwen2.5-Plus,Alibaba,Large,Noah,2014,Noah (2014),C,-0.1514,-1.1986836871250204,183,134
Qwen2.5-Plus,Alibaba,Large,Monster Hunt,2015,Monster Hunt (2015),C,-0.1521,-1.204225689661207,184,139
Qwen2.5-Plus,Alibaba,Large,Lucy,2014,Lucy (2014),C,-0.1529,-1.21055940684542,185,148
Qwen2.5-Plus,Alibaba,Large,Die Another Day,2002,Die Another Day (2002),C,-0.1535,-1.2153096947335797,186,164
Qwen2.5-Plus,Alibaba,Large,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1543,-1.2216434119177928,187,135
Qwen2.5-Plus,Alibaba,Large,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1594,-1.2620208589671515,188,152
Qwen2.5-Plus,Alibaba,Large,The Meg,2018,The Meg (2018),C,-0.1615,-1.2786468665757114,189,144
Qwen2.5-Plus,Alibaba,Large,2012,2009,2012 (2009),C,-0.1626,-1.2873557277040044,190,156
Qwen2.5-Plus,Alibaba,Large,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1719,-1.3609851899704823,191,145
Qwen2.5-Plus,Alibaba,Large,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.1831,-1.4496572305494666,192,147
Qwen2.5-Plus,Alibaba,Large,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.186,-1.472616955342239,193,151
Qwen2.5-Plus,Alibaba,Large,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1915,-1.5161612609837045,194,145
Qwen2.5-Plus,Alibaba,Large,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1924,-1.5232866928159443,195,131
Qwen2.5-Plus,Alibaba,Large,Pegasus 2,2024,Pegasus 2 (2024),C,-0.1994,-1.5787067181778094,196,141
Qwen2.5-Plus,Alibaba,Large,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.2009,-1.590582437898209,197,153
Qwen2.5-Plus,Alibaba,Large,Cars 2,2011,Cars 2 (2011),C,-0.2083,-1.6491693218521808,198,138
Qwen2.5-Plus,Alibaba,Large,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.2128,-1.6847964810133798,199,136
Qwen2.5-Plus,Alibaba,Large,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.2551,-2.0196917771286502,200,138
Qwen2.5-Turbo,Alibaba,Small,Spirited Away,2001,Spirited Away (2001),A,0.2153,1.9458123839916928,1,172
Qwen2.5-Turbo,Alibaba,Small,Parasite,2019,Parasite (2019),A,0.2153,1.9458123839916928,2,136
Qwen2.5-Turbo,Alibaba,Small,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.2152,1.9449086370355184,3,193
Qwen2.5-Turbo,Alibaba,Small,Get Out,2017,Get Out (2017),A,0.2119,1.915084987481757,4,237
Qwen2.5-Turbo,Alibaba,Small,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.2114,1.910566252700884,5,231
Qwen2.5-Turbo,Alibaba,Small,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.211,1.9069512648761857,6,174
Qwen2.5-Turbo,Alibaba,Small,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.2108,1.9051437709638364,7,197
Qwen2.5-Turbo,Alibaba,Small,Pather Panchali,1955,Pather Panchali (1955),B,0.2093,1.8915875666212179,8,203
Qwen2.5-Turbo,Alibaba,Small,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.209,1.888876325752694,9,146
Qwen2.5-Turbo,Alibaba,Small,Inside Out,2015,Inside Out (2015),C,0.2085,1.8843575909718209,10,289
Qwen2.5-Turbo,Alibaba,Small,Pyaasa,1957,Pyaasa (1957),B,0.2076,1.8762238683662498,11,263
Qwen2.5-Turbo,Alibaba,Small,Yojimbo,1961,Yojimbo (1961),B,0.2067,1.8680901457606784,12,224
Qwen2.5-Turbo,Alibaba,Small,Oldboy,2003,Oldboy (2003),B,0.2058,1.8599564231551073,13,256
Qwen2.5-Turbo,Alibaba,Small,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.2039,1.8427852309877901,14,290
Qwen2.5-Turbo,Alibaba,Small,The Godfather,1972,The Godfather (1972),A,0.1966,1.7768117031870452,15,340
Qwen2.5-Turbo,Alibaba,Small,Beau Travail,1999,Beau Travail (1999),B,0.1923,1.7379505840715381,16,312
Qwen2.5-Turbo,Alibaba,Small,Shoah,1985,Shoah (1985),B,0.19,1.7171644040795226,17,274
Qwen2.5-Turbo,Alibaba,Small,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.1886,1.7045119466930783,18,324
Qwen2.5-Turbo,Alibaba,Small,Your Name.,2016,Your Name. (2016),C,0.1866,1.6864370075695865,19,266
Qwen2.5-Turbo,Alibaba,Small,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,0.186,1.681014525832539,20,246
Qwen2.5-Turbo,Alibaba,Small,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.1704,1.5400300006693037,21,325
Qwen2.5-Turbo,Alibaba,Small,Logan,2017,Logan (2017),C,0.1538,1.3900080059443223,22,311
Qwen2.5-Turbo,Alibaba,Small,Persona,1966,Persona (1966),B,0.1501,1.3565693685658629,23,283
Qwen2.5-Turbo,Alibaba,Small,Day for Night,1973,Day for Night (1973),B,0.1472,1.3303607068367997,24,338
Qwen2.5-Turbo,Alibaba,Small,Ran,1985,Ran (1985),B,0.1459,1.3186119964065302,25,260
Qwen2.5-Turbo,Alibaba,Small,WALL-E,2008,WALL-E (2008),A,0.1458,1.3177082494503556,26,423
Qwen2.5-Turbo,Alibaba,Small,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.1407,1.2716171546854516,27,298
Qwen2.5-Turbo,Alibaba,Small,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.1267,1.1450925808210095,28,318
Qwen2.5-Turbo,Alibaba,Small,Ratatouille,2007,Ratatouille (2007),C,0.1264,1.1423813399524858,29,300
Qwen2.5-Turbo,Alibaba,Small,Oppenheimer,2023,Oppenheimer (2023),C,0.1232,1.113461437354899,30,321
Qwen2.5-Turbo,Alibaba,Small,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,0.1192,1.0773115591079154,31,325
Qwen2.5-Turbo,Alibaba,Small,Joker,2019,Joker (2019),C,0.1138,1.0285092234744877,32,359
Qwen2.5-Turbo,Alibaba,Small,Withnail & I,1987,Withnail & I (1987),B,0.113,1.0212792478250912,33,353
Qwen2.5-Turbo,Alibaba,Small,High and Low,1963,High and Low (1963),B,0.1105,0.9986855739207264,34,289
Qwen2.5-Turbo,Alibaba,Small,All About My Mother,1999,All About My Mother (1999),B,0.0965,0.8721610000562844,35,358
Qwen2.5-Turbo,Alibaba,Small,Amadeus,1984,Amadeus (1984),B,0.0957,0.8649310244068876,36,314
Qwen2.5-Turbo,Alibaba,Small,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,0.0927,0.8378186157216501,37,277
Qwen2.5-Turbo,Alibaba,Small,The Wandering Earth,2019,The Wandering Earth (2019),C,0.0924,0.8351073748531262,38,359
Qwen2.5-Turbo,Alibaba,Small,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.0893,0.8070912192117142,39,279
Qwen2.5-Turbo,Alibaba,Small,Schindler's List,1993,Schindler's List (1993),A,0.0873,0.7890162800882224,40,268
Qwen2.5-Turbo,Alibaba,Small,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.0867,0.7835937983511749,41,301
Qwen2.5-Turbo,Alibaba,Small,Pulp Fiction,1994,Pulp Fiction (1994),A,0.0866,0.7826900513950003,42,318
Qwen2.5-Turbo,Alibaba,Small,The Dark Knight,2008,The Dark Knight (2008),A,0.0796,0.7194277644627793,43,341
Qwen2.5-Turbo,Alibaba,Small,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.0783,0.7076790540325096,44,303
Qwen2.5-Turbo,Alibaba,Small,Happy Together,1997,Happy Together (1997),B,0.0769,0.6950265966460654,45,248
Qwen2.5-Turbo,Alibaba,Small,Coco,2017,Coco (2017),C,0.076,0.6868928740404942,46,248
Qwen2.5-Turbo,Alibaba,Small,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,0.0755,0.6823741392596212,47,323
Qwen2.5-Turbo,Alibaba,Small,Sans Soleil,1983,Sans Soleil (1983),B,0.0731,0.6606842123114312,48,203
Qwen2.5-Turbo,Alibaba,Small,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.0722,0.6525504897058599,49,236
Qwen2.5-Turbo,Alibaba,Small,Pickpocket,1959,Pickpocket (1959),B,0.0722,0.6525504897058599,50,289
Qwen2.5-Turbo,Alibaba,Small,Videodrome,1983,Videodrome (1983),B,0.0672,0.6073631418971306,51,276
Qwen2.5-Turbo,Alibaba,Small,Nostalghia,1983,Nostalghia (1983),B,0.0638,0.5766357453871946,52,274
Qwen2.5-Turbo,Alibaba,Small,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.0622,0.5621757940884013,53,225
Qwen2.5-Turbo,Alibaba,Small,Los Olvidados,1950,Los Olvidados (1950),B,0.0618,0.558560806263703,54,229
Qwen2.5-Turbo,Alibaba,Small,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.0606,0.5477158427896079,55,240
Qwen2.5-Turbo,Alibaba,Small,Blade Runner,1982,Blade Runner (1982),B,0.0601,0.543197108008735,56,208
Qwen2.5-Turbo,Alibaba,Small,"Hi, Mom",2021,"Hi, Mom (2021)",C,0.0601,0.543197108008735,57,226
Qwen2.5-Turbo,Alibaba,Small,Vivre sa vie,1962,Vivre sa vie (1962),B,0.0569,0.5142772054111483,58,243
Qwen2.5-Turbo,Alibaba,Small,Gravity,2013,Gravity (2013),C,0.0532,0.48083856803268854,59,237
Qwen2.5-Turbo,Alibaba,Small,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.0507,0.4582448941283239,60,228
Qwen2.5-Turbo,Alibaba,Small,The Gleaners & I,2000,The Gleaners & I (2000),B,0.0495,0.4473999306542289,61,293
Qwen2.5-Turbo,Alibaba,Small,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.0487,0.4401699550048322,62,211
Qwen2.5-Turbo,Alibaba,Small,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,0.0473,0.42751749761838803,63,221
Qwen2.5-Turbo,Alibaba,Small,The Matrix,1999,The Matrix (1999),A,0.0458,0.4139612932757692,64,244
Qwen2.5-Turbo,Alibaba,Small,La Belle et la Bête,1946,La Belle et la Bête (1946),B,0.043,0.38865637850288076,65,189
Qwen2.5-Turbo,Alibaba,Small,Caché,2005,Caché (2005),B,0.0418,0.37781141502878574,66,218
Qwen2.5-Turbo,Alibaba,Small,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.0401,0.36244771677381776,67,209
Qwen2.5-Turbo,Alibaba,Small,The Revenant,2015,The Revenant (2015),C,0.0401,0.36244771677381776,68,205
Qwen2.5-Turbo,Alibaba,Small,Kes,1969,Kes (1969),B,0.0369,0.33352781417623106,69,179
Qwen2.5-Turbo,Alibaba,Small,American Beauty,1999,American Beauty (1999),A,0.0366,0.33081657330770725,70,235
Qwen2.5-Turbo,Alibaba,Small,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.0355,0.3208753567897868,71,227
Qwen2.5-Turbo,Alibaba,Small,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.0341,0.3082228994033426,72,199
Qwen2.5-Turbo,Alibaba,Small,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.03,0.27116927420018455,73,174
Qwen2.5-Turbo,Alibaba,Small,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.0294,0.26574679246313704,74,236
Qwen2.5-Turbo,Alibaba,Small,The Fugitive,1993,The Fugitive (1993),C,0.0285,0.25761306985756577,75,245
Qwen2.5-Turbo,Alibaba,Small,Batman,1989,Batman (1989),C,0.0267,0.24134562464642326,76,217
Qwen2.5-Turbo,Alibaba,Small,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.0262,0.2368268898655503,77,188
Qwen2.5-Turbo,Alibaba,Small,Taste of Cherry,1997,Taste of Cherry (1997),B,0.026,0.23501939595320112,78,214
Qwen2.5-Turbo,Alibaba,Small,Apollo 13,1995,Apollo 13 (1995),C,0.0233,0.2106182281364873,79,224
Qwen2.5-Turbo,Alibaba,Small,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.0219,0.1979657707500431,80,197
Qwen2.5-Turbo,Alibaba,Small,Jaws,1975,Jaws (1975),A,0.0211,0.19073579510064642,81,176
Qwen2.5-Turbo,Alibaba,Small,Se7en,1995,Se7en (1995),A,0.0204,0.1844095664074243,82,183
Qwen2.5-Turbo,Alibaba,Small,Home Alone,1990,Home Alone (1990),C,0.0175,0.15820090467836131,83,157
Qwen2.5-Turbo,Alibaba,Small,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0173,0.15639341076601213,84,177
Qwen2.5-Turbo,Alibaba,Small,The Seventh Seal,1957,The Seventh Seal (1957),B,0.0167,0.1509709290289646,85,174
Qwen2.5-Turbo,Alibaba,Small,M,1931,M (1931),B,0.0164,0.14825968816044086,86,143
Qwen2.5-Turbo,Alibaba,Small,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,0.0148,0.13379973686164748,87,226
Qwen2.5-Turbo,Alibaba,Small,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,0.0133,0.12024353251902867,88,161
Qwen2.5-Turbo,Alibaba,Small,The Gold Rush,1925,The Gold Rush (1925),B,0.0128,0.11572479773815575,89,183
Qwen2.5-Turbo,Alibaba,Small,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.0123,0.11120606295728282,90,165
Qwen2.5-Turbo,Alibaba,Small,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,0.0122,0.11030231600110824,91,208
Qwen2.5-Turbo,Alibaba,Small,Incredibles 2,2018,Incredibles 2 (2018),C,0.01,0.09041988296526733,92,151
Qwen2.5-Turbo,Alibaba,Small,Monster Hunt,2015,Monster Hunt (2015),C,0.0085,0.07686367862264855,93,144
Qwen2.5-Turbo,Alibaba,Small,Toy Story,1995,Toy Story (1995),A,0.0071,0.06421122123620433,94,191
Qwen2.5-Turbo,Alibaba,Small,Rain Man,1988,Rain Man (1988),C,0.0069,0.06240372732385515,95,179
Qwen2.5-Turbo,Alibaba,Small,True Lies,1994,True Lies (1994),C,0.0063,0.05698124558680764,96,136
Qwen2.5-Turbo,Alibaba,Small,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0053,0.04794377602506177,97,188
Qwen2.5-Turbo,Alibaba,Small,Zama,2017,Zama (2017),B,0.0046,0.04161754733183967,98,171
Qwen2.5-Turbo,Alibaba,Small,Brave,2012,Brave (2012),C,0.0046,0.04161754733183967,99,158
Qwen2.5-Turbo,Alibaba,Small,Solaris,1972,Solaris (1972),B,0.0044,0.0398100534194905,100,183
Qwen2.5-Turbo,Alibaba,Small,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.0041,0.03709881255096674,101,183
Qwen2.5-Turbo,Alibaba,Small,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0037,0.033483824726268395,102,153
Qwen2.5-Turbo,Alibaba,Small,Breathless,1960,Breathless (1960),B,0.0036,0.03258007777009381,103,154
Qwen2.5-Turbo,Alibaba,Small,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.0033,0.02986883690157005,104,190
Qwen2.5-Turbo,Alibaba,Small,Star Wars,1977,Star Wars (1977),A,0.0004,0.0036601751725070493,105,166
Qwen2.5-Turbo,Alibaba,Small,A Bug's Life,1998,A Bug's Life (1998),C,0.0002,0.0018526812601578767,106,180
Qwen2.5-Turbo,Alibaba,Small,Europa '51,1952,Europa '51 (1952),B,-0.0008,-0.0071847883015879865,107,206
Qwen2.5-Turbo,Alibaba,Small,Star Trek,2009,Star Trek (2009),C,-0.0014,-0.012607270038635503,108,148
Qwen2.5-Turbo,Alibaba,Small,Death in Venice,1971,Death in Venice (1971),B,-0.0015,-0.01351101699481009,109,162
Qwen2.5-Turbo,Alibaba,Small,Saving Private Ryan,1998,Saving Private Ryan (1998),A,-0.0024,-0.021644739600381362,110,150
Qwen2.5-Turbo,Alibaba,Small,Ocean's Eleven,2001,Ocean's Eleven (2001),C,-0.0028,-0.02525972742507971,111,182
Qwen2.5-Turbo,Alibaba,Small,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.0037,-0.03339345003065099,112,161
Qwen2.5-Turbo,Alibaba,Small,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,-0.0051,-0.046045907417095196,113,173
Qwen2.5-Turbo,Alibaba,Small,Forrest Gump,1994,Forrest Gump (1994),A,-0.0062,-0.05598712393501564,114,154
Qwen2.5-Turbo,Alibaba,Small,Dances with Wolves,1990,Dances with Wolves (1990),C,-0.0072,-0.0650245934967615,115,151
Qwen2.5-Turbo,Alibaba,Small,Back to the Future,1985,Back to the Future (1985),A,-0.008,-0.07225456914615819,116,142
Qwen2.5-Turbo,Alibaba,Small,Jurassic Park,1993,Jurassic Park (1993),A,-0.0088,-0.07948454479555488,117,153
Qwen2.5-Turbo,Alibaba,Small,Ghostbusters,1984,Ghostbusters (1984),A,-0.011,-0.09936697783139577,118,178
Qwen2.5-Turbo,Alibaba,Small,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.0144,-0.1300943743413317,119,169
